CV-PS-002;Consolas y Videojuegos;PlayStation;PlayStation 4;Vive épicas aventuras, lucha contra los mejores jugadores online y desafía a tus amigos en tu propio salón con la nueva y ligera PS4. Una consola más fina y ligera con un estilizado nuevo diseño que encierra una potente PlayStation 4 en su interior. Es un 30% más delgada y un 16% más ligera que su antecesora. Pero que no te engañe su compacto diseño, su interior alberga un disco duro de 500 GB de capacidad;295;28;4
CV-DS-002;Consolas y Videojuegos;DS;Nintendo 2Ds;Pásalo en grande con el pack de consola Nintendo 2DS azul. La 2DS es todo un acierto, ya que tiene un extenso catálogo de juegos Nintendo. Pasa infinitas horas con las mejores sagas de Mario, El Profesor Layton, Style Boutique, entre otros. Lo mejor de todo es que la retrocompatibilidad de tu nueva consola Nintendo 2DS te permite jugar a todos los juegos de Nintendo 3DS y DS en modo 2D;99;10;8
OT-PO-001;Ordenadores y Tablets;Portátiles;Acer Aspire ES 17;Ordenador portátil de 17.3" (Intel Celeron N3050, memoria RAM de 4 GB, disco duro de 1 TB, Windows 8). Color negro;325.99;32;5
VI-CA-004;Videovigilancia;Cámaras;NEXUS;La cámara NEXUS de todos los tiempos, lista para ser colocada en cualquier lugar y con una buena calidad de imagen. Tiene tambíen una gran movilidad y destaca principalmente por su precio;59.22;3;25
FV-AC-001;Fotografía y Vídeo;Accesorios;Viltrox JY680A;Especificaciones: número de guía: GN33 (ISO/100 metros) duración de Flash: 1/1050s (con salida de 1/1) modo de Flash: M/Multi/S1/S2 Control Flash: 8 niveles de salida control (1/128--1/1) tiempo reciclar: 0.3-5 Indicador de Flash listo del : piloto rojo rango de transmisión: en el interior 12-15m / al aire libre de 8-10m ángulo de recepción: Horizontal-40, W.t.c vertical 30, interfaz externa: Zapata, puerto PC, Puerto de alimentación externa fuente de alimentación: 4  AA / CP-E4;23;1;4
CV-XB-002;Consolas y Videojuegos;Xbox;Xbox One;Disfruta del mejor catálogo de juegos en la Historia de Xbox, con exclusivas como Halo 5: Guardians, Gears of War: Ultimate Edition y Forza Motorsport 6. Juega con amigos en Xbox Live y disfruta de tus juegos de Xbox 360, tanto digitales como en disco, en Xbox One;299;30;20
CV-WI-001;Consolas y Videojuegos;Wii;Wii U 32 Gb;Wii U es una nueva consola de sobremesa de Nintendo que redefine la relación entre tu televisor y tú, y como te conectas con tus amigos y familiares. Es una potente máquina de alta definición con un sorprendente nuevo mando que redefine los videojuegos en compañía: el Wii U GamePad;301.90;31;5
CV-WI-002;Consolas y Videojuegos;Wii;Wii U Splatoon;Una nueva clase de batalla comienza con Splatoon, para Wii U. Enfréntate a jugadores de todo el mundo en emocionantes encuentros multijugador de 4 contra 4. ¡La victoria dependerá del trabajo en equipo y de una buena táctica!;325;32;4
CV-DS-001;Consolas y Videojuegos;DS;Nintendo DSi;Descubre las ventajas de las nuevas aplicaciones como la Cámara Nintendo DSi y el Nintendo DSi Sound, que te permitirán divertirte con tus fotografías preferidas y tener tus canciones y podcasts a tu disposición allí donde vayas;55.90;6;10
CV-DS-002;Consolas y Videojuegos;DS;Nintendo 2Ds;Pásalo en grande con el pack de consola Nintendo 2DS azul. La 2DS es todo un acierto, ya que tiene un extenso catálogo de juegos Nintendo. Pasa infinitas horas con las mejores sagas de Mario, El Profesor Layton, Style Boutique, entre otros. Lo mejor de todo es que la retrocompatibilidad de tu nueva consola Nintendo 2DS te permite jugar a todos los juegos de Nintendo 3DS y DS en modo 2D;99;10;8
CV-OT-001;Consolas y Videojuegos;Otras;Atari 2600;La Atari 2600 es una videoconsola lanzada al mercado el 11 de septiembre de 1977 bajo el nombre de Atari VCS (Video Computer System), convirtiéndose en la primera en tener éxito y la tercera que utilizaba cartuchos intercambiables. En 1982, tras el lanzamiento de la Atari 5200, adoptó su nombre final basado en el número de catálogo que la identificaba (CX2600). Esta consola fue un gran éxito y logró que durante los años 1980 "Atari" fuese sinónimo de videojuegos. Se vende acompañada de 2 joysticks, 2 controles tipo paddle y el juego Combat;79;7;13
CV-OT-001;Consolas y Videojuegos;Otras;Atari 2600;La Atari 2600 es una videoconsola lanzada al mercado el 11 de septiembre de 1977 bajo el nombre de Atari VCS (Video Computer System), convirtiéndose en la primera en tener éxito y la tercera que utilizaba cartuchos intercambiables. En 1982, tras el lanzamiento de la Atari 5200, adoptó su nombre final basado en el número de catálogo que la identificaba (CX2600). Esta consola fue un gran éxito y logró que durante los años 1980 "Atari" fuese sinónimo de videojuegos. Se vende acompañada de 2 joysticks, 2 controles tipo paddle y el juego Combat;79;7;13
